Date,m50,m50_index,POP_ESTIMATE_2018,Urban_Influence_Code_2013,Mar Temp AVG / F,Apr Temp AVG / F,Total_age0to17,Total_age18to64,Total_age65plus,Percent of adults with less than a high school diploma 2014-18,Employed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Density per square mile of land area - Population,Density per square mile of land area - Housing units,Active Physicians per 100000 Population 2018 (AAMC),All Specialties (AAMC),ICU Beds,transit_scores - population weighted averages aggregated from town/city level to county,Premature Death,% Adults with Obesity,Average Daily PM2.5,% Severe Housing Problems,Cardiovascular Deaths Per 100K,stay at home_bool,>50 gatherings_bool,>500 gatherings_bool,public_schools_bool,dine_in_bool,Percent_White,Percent_Black,Percent_NativeAmerican,Percent_Asian,Percent_NativeHawaiianPI,Percent_TwoPlusRaces,Percent_Hispanic,Age_0_14,Age_15_24,Age_25_44,Age_45_64,Age_65plus,C_Female,C_Male,Subgroup_Case_Rate_Black,Subgroup_Case_Rate_White,Subgroup_Case_Rate_Hispanic,Subgroup_Case_Rate_AsianNA_NH_PI_TwoPlus,T_negative,T_positive,T_total,cases,deaths,Day_of_Week
2020-04-13,0.835,9.0,147929.0,2.0,65.1,69.9,22036.0,72188.0,53705.0,11.9,45314.0,5.2,41556.0,75.0,242.8,134.1,265.2,392.2951378,40.0,711860743.0,11763.0,29.0,8.1,15.0,563,True,True,True,True,True,93.0047522798099,3.147455874101765,0.4326399826944007,1.6818879327244827,0.03853199845872006,1.6947319322107228,5.948123762075049,36.0,61.0,248.0,318.0,333.0,36.0,36.0,0.0,0.028346937440489602,0.04545971133083305,0.0,921.0,72.0,1000.0,72.0,7.0,0
2020-04-13,0.494,6.0,184998.0,2.0,69.1,74.4,22067.0,88537.0,74394.0,9.7,68108.0,4.0,52724.0,95.1,235.2,147.9,265.2,490.59897589999997,51.0,0.0,8115.0,28.0,7.7,16.0,311.2,True,True,True,True,True,90.45124812160131,6.000064865566114,0.4010854171396448,1.4189342587487432,0.06108174142423162,1.6675855955199517,7.41197202131915,23.0,61.0,241.0,357.0,435.0,69.0,45.0,0.13513513513513514,0.0478088601770123,0.014585764294049007,0.03046458492003046,993.0,117.0,1119.0,119.0,5.0,0
2020-04-13,1.3630000000000002,9.0,14587.0,6.0,61.2,66.9,2924.0,9032.0,2631.0,21.9,4873.0,4.1,38323.0,69.1,25.8,10.6,265.2,38.68348448,0.0,0.0,10649.0,36.0,9.7,12.0,488.7,True,True,True,True,True,82.15534379927333,13.210392815520668,1.329951326523617,0.8020840474395009,0.13710838417769244,2.3651196270651953,5.744841297045315,3.0,6.0,19.0,16.0,18.0,3.0,2.0,0.2075765438505449,0.008344459279038718,0.0,0.0,57.0,5.0,62.0,5.0,0.0,0
2020-04-13,0.491,6.0,1951260.0,1.0,72.5,76.2,412789.0,1214158.0,324313.0,11.2,1001293.0,3.4,57200.0,103.2,1444.9,669.9,265.2,5174.575713,587.0,4941992962.0,6339.0,25.0,6.6,25.0,413.8,True,True,True,True,True,63.220431926037534,30.092453081598556,0.40537908838391606,3.887283088875906,0.12238246056394331,2.2720703545401433,30.42818486516405,487.0,1644.0,9197.0,9472.0,5027.0,1406.0,1590.0,0.1275584060819303,0.11624560735087285,0.15192013918714303,0.21228819079880137,22675.0,3105.0,25866.0,3177.0,77.0,0
2020-04-13,1.094,14.0,596849.0,2.0,67.2,72.8,108913.0,346591.0,141345.0,8.0,266812.0,3.5,57612.0,103.9,535.0,265.7,265.2,1582.792831,159.0,2107186548.0,8820.0,30.0,7.3,15.0,428.7,True,True,True,True,True,83.24433818268943,10.72566092931378,0.46209342731578673,2.640366323810545,0.13370215917258804,2.7938389776978765,10.716445868217924,100.0,174.0,797.0,1014.0,734.0,67.0,67.0,0.03124218945263684,0.01891945745436687,0.03126905458013477,0.025006946373992776,2628.0,140.0,2820.0,148.0,6.0,0
2020-04-13,4.341,38.0,27732.0,4.0,63.0,69.1,5436.0,17361.0,4935.0,21.7,10933.0,3.3,45075.0,81.3,97.0,37.5,265.2,73.54290749,0.0,0.0,10390.0,37.0,8.1,15.0,459.2,True,True,True,True,True,76.74167027260927,20.052646761863553,0.49762007788836,0.6021924130967835,0.05408913890090869,2.0517813356411363,4.269436030578393,8.0,21.0,63.0,84.0,117.0,25.0,5.0,0.03596475454055026,0.11277135607555681,0.0,0.0,260.0,30.0,295.0,30.0,1.0,0
2020-04-13,2.417,30.0,185287.0,2.0,61.8,67.2,39761.0,113848.0,31678.0,9.7,85703.0,4.0,51777.0,93.4,222.6,131.4,265.2,491.36537930000003,77.0,2048433996.0,9721.0,29.0,9.8,17.0,481.9,True,True,True,True,True,81.70243999848883,11.679718490773773,0.8284445212022431,2.279166914030666,0.16083157480017485,3.3493985007043126,6.706352847204607,18.0,45.0,185.0,235.0,128.0,16.0,22.0,0.023104292777598078,0.015853722982613748,0.048285852245292124,0.024465829391616373,572.0,39.0,611.0,39.0,1.0,0
2020-04-13,4.506,32.0,28355.0,1.0,61.6,68.0,6715.0,17625.0,4015.0,15.5,11467.0,3.4,52804.0,95.3,46.3,16.6,265.2,75.19505055,0.0,0.0,10068.0,38.0,8.4,12.0,495,True,True,True,True,True,82.99418092047259,14.008111444189739,0.4408393581378946,0.7088696878857345,0.03174043378592841,1.8162581555281256,2.666196438017986,12.0,24.0,66.0,76.0,57.0,10.0,7.0,0.025176233635448138,0.06374027960735988,0.0,0.1176470588235294,218.0,17.0,235.0,17.0,2.0,0
2020-04-13,1.594,20.0,269956.0,2.0,63.6,69.3,48541.0,183579.0,37836.0,7.6,132846.0,3.3,51026.0,92.0,282.7,128.9,265.2,715.9003726,210.0,5720159672.0,6824.0,27.0,8.3,20.0,347.9,True,True,True,True,True,69.85731008016121,20.58668820104017,0.35968824549185796,6.260279452947888,0.07964260842507667,2.8563914119337968,10.276119071256057,138.0,514.0,1366.0,1073.0,869.0,98.0,75.0,0.08636977058029689,0.03870954057608281,0.043257272628960744,0.05426987634221033,3809.0,183.0,4005.0,187.0,0.0,0
2020-04-13,0.624,7.0,950181.0,1.0,63.0,69.4,214676.0,602022.0,133483.0,10.5,470411.0,3.6,55733.0,100.5,1133.9,509.7,265.2,2519.799271,412.0,3806869014.0,9657.0,31.0,8.5,18.0,458,True,True,True,True,True,60.802310296669795,30.573648599582604,0.4526506002540569,5.064298275802189,0.12187151711095044,2.985220710580405,10.1365950276842,444.0,1087.0,4963.0,4343.0,2432.0,349.0,308.0,0.03752086883186176,0.02596359557718804,0.015573736450849286,0.03539002245435907,12513.0,692.0,13293.0,691.0,13.0,0
