Area_Name,State,Cardiovascular Deaths Per 100K,,
Douglas,MN,337.8,  ,
Le Sueur,MN,338,  ,
Sully,SD,338,  ,
Renville,MN,338.2,  ,
Honolulu,HI,338.3,  ,
Washington,CO,338.5,  ,
El Dorado,CA,338.7,  ,
Grand Isle,VT,338.8,  ,
Somerset,NJ,339,  ,
Wake,NC,339.4,  ,
Campbell,SD,339.5,  ,
Douglas,WA,339.8,  ,
Juneau,AK,339.8,  ,
Kit Carson,CO,340,  ,
Cumberland,ME,340,  ,
Mecklenburg,NC,340.7,  ,
Iron,UT,340.9,  ,
Santa Barbara,CA,341,  ,
Placer,CA,341.2,  ,
Sweet Grass,MT,341.3,  ,
Sarpy,NE,341.6,  ,
Valdez-Cordova,AK,341.6,  ,
Jackson,OR,341.7,  ,
Deschutes,OR,342,  ,
Steele,ND,342,  ,
Moffat,CO,342,  ,
Chase,NE,342.1,  ,
Oliver,ND,342.2,  ,
McLean,ND,342.5,  ,
Burleigh,ND,343.2,  ,
Gwinnett,GA,343.5,  ,
La Crosse,WI,343.5,  ,
Forsyth,GA,343.8,  ,
Yuma,AZ,344.2,  ,
Grand,UT,344.4,  ,
Sublette,WY,344.5,  ,
Nantucket,MA,344.6,  ,
Pope,MN,344.6,  ,
Keith,NE,344.7,  ,
Napa,CA,344.7,  ,
Barnstable,MA,345.3,  ,
Plymouth,MA,345.5,  ,
Sheridan,ND,345.5,  ,
Mineral,CO,345.5,  ,
Albany,WY,345.6,  ,
Traill,ND,345.9,  ,
Essex,NY,346,  ,
Slope,ND,346.4,  ,
Talbot,MD,346.8,  ,
Washington,RI,346.8,  ,
Juana Diaz,PR,347.1,  ,
Doña Ana,NM,347.3,  ,
Daggett,UT,347.4,  ,
Fauquier,VA,347.6,  ,
Clearwater,MN,347.7,  ,
Benton,MN,347.7,  ,
Lares,PR,347.8,  ,
Alachua,FL,347.9,  ,
Hamilton,IN,348.3,  ,
Wichita,KS,348.5,  ,
McLeod,MN,348.6,  ,
Rockland,NY,348.6,  ,
Livingston,NY,348.9,  ,
Blue Earth,MN,348.9,  ,
Laramie,WY,349,  ,
Hidalgo,TX,349.3,  ,
Norman,MN,349.3,  ,
Sandoval,NM,349.4,  ,
Stevens,KS,349.4,  ,
Logan,KS,349.6,  ,
Lincoln,CO,349.6,  ,
Winnebago,WI,349.6,  ,
Portage,WI,349.8,  ,
Sonoma,CA,349.8,  ,
Broadwater,MT,349.8,  ,
Snohomish,WA,349.9,  ,
Carroll,NH,350,  ,
Barnes,ND,350.4,  ,
Yellow Medicine,MN,350.4,  ,
Island,WA,350.4,  ,
Morris,NJ,350.5,  ,
New London,CT,351,  ,
Sheridan,KS,351.2,  ,
Hays,TX,351.2,  ,
Middlesex,CT,351.3,  ,
Maricopa,AZ,351.7,  ,
Steele,MN,351.7,  ,
Skamania,WA,351.7,  ,
Kane,IL,352,  ,
Thurston,WA,352.2,  ,
Walworth,SD,352.2,  ,
Hoonah-Angoon,AK,352.3,  ,
Benzie,MI,352.5,  ,
Potter,SD,352.5,  ,
Wrangell,AK,352.6,  ,
Nevada,CA,352.8,  ,
Cheyenne,CO,353,  ,
Gove,KS,353.1,  ,
Union,NC,353.1,  ,
La Plata,CO,353.2,  ,
Pinellas,FL,353.2,  ,
Rockingham,VA,353.4,  ,
Denver,CO,353.5,  ,
Archuleta,CO,353.6,  ,
Park,WY,353.7,  ,
McPherson,NE,353.8,  ,
Henderson,NC,353.8,  ,
Kittitas,WA,353.9,  ,
Fairfax City,VA,354,  ,
Delaware,OH,354,  ,
Kanabec,MN,354,  ,
San Benito,CA,354.1,  ,
Prince George,VA,354.2,  ,
Shenandoah,VA,354.3,  ,
Franklin,WA,354.3,  ,
Goshen,WY,354.3,  ,
Hancock,ME,354.5,  ,
Westchester,NY,354.8,  ,
San Juan,NM,354.9,  ,
LaMoure,ND,354.9,  ,
Orange,CA,354.9,  ,
Ketchikan Gateway,AK,354.9,  ,
Morgan,CO,354.9,  ,
Bucks,PA,355,  ,
Burke,ND,355.1,  ,
Madison,NY,355.1,  ,
Cass,NE,355.4,  ,
Monroe,NY,355.5,  ,
Ozaukee,WI,355.5,  ,
Moore,NC,355.6,  ,
Itasca,MN,355.6,  ,
Lake,MN,355.8,  ,
Goodhue,MN,355.9,  ,
Santa Isabel,PR,355.9,  ,
Pembina,ND,356.1,  ,
Beltrami,MN,356.2,  ,
Jefferson,CO,356.2,  ,
Washington,TX,356.2,  ,
Thomas,KS,356.5,  ,
Grafton,NH,356.5,  ,
Perkins,NE,356.6,  ,
Lane,OR,356.6,  ,
Lincoln,ID,356.9,  ,
Isanti,MN,357.1,  ,
Williamson,TN,357.1,  ,
Ravalli,MT,357.3,  ,
Rockingham,NH,357.3,  ,
Meagher,MT,357.4,  ,
Beaverhead,MT,357.7,  ,
McIntosh,ND,357.7,  ,
Augusta,VA,357.7,  ,
Platte,WY,357.9,  ,
Blanco,TX,358,  ,
Swift,MN,358,  ,
Hartford,CT,358,  ,
Aitkin,MN,358.1,  ,
Dakota,NE,358.6,  ,
Kidder,ND,358.6,  ,
Ontario,NY,358.7,  ,
Oxford,ME,358.7,  ,
Yavapai,AZ,358.7,  ,
Lamoille,VT,358.8,  ,
Power,ID,358.9,  ,
Yolo,CA,359,  ,
Pine,MN,359,  ,
Stark,ND,359.4,  ,
Cheyenne,KS,359.6,  ,
Lyon,IA,360,  ,
San Diego,CA,360,  ,
Ottawa,MI,360,  ,
Skagit,WA,360.1,  ,
Montezuma,CO,360.2,  ,
Sherman,KS,360.2,  ,
Columbia,WA,360.3,  ,
Koochiching,MN,360.4,  ,
Lincoln,OR,360.5,  ,
Lafayette,WI,360.5,  ,
Cuming,NE,360.6,  ,
Montrose,CO,360.6,  ,
Kimball,NE,360.7,  ,
Lincoln,NE,360.8,  ,
King George,VA,360.9,  ,
Jessamine,KY,361.3,  ,
Geauga,OH,361.4,  ,
Gray,KS,361.7,  ,
Tolland,CT,361.7,  ,
